TC_ID,Section,Sub_Section,Test_Case_Title,Description,Pre_Conditions,Test_Steps,Expected_Result,Priority,Test_Type,Risk_Level
CC_EH_018,Execution History,Pagination,Next page works,Verify navigation,Multiple pages,"1. Click Next button
2. Observe table",Page 2 data loads,P1,Functional,Low
CC_EH_019,Execution History,Pagination,Previous page works,Verify navigation,On page 2+,"1. Click Previous button
2. Observe table",Previous page data loads,P1,Functional,Low
CC_EH_020,Execution History,Refresh,Refresh button updates data,Verify manual refresh,On Portfolio Snapshots tab,"1. Click Refresh button
2. Observe table",Execution history refreshes,P2,Functional,Low
CC_EH_021,Execution History,Auto-refresh,Auto-refresh every 30 seconds,Verify auto-refresh,Long-running operation,"1. Wait 30 seconds
2. Observe statistics",Data automatically refreshes,P2,Functional,Low
CC_EH_022,Execution History,Order,Reverse chronological order,Verify sort order,Multiple executions,"1. Check row order
2. Verify sequence",Newest executions first,P2,Functional,Low
CC_EH_023,Execution History,Empty State,No executions message,Verify empty state,No executions exist,"1. Check history with no data
2. Observe display",Empty state message displayed,P2,Functional,Low
CC_SET_001,Settings Tab,Scheduler Settings,Display job type list,Verify all job types shown,On Settings tab,"1. Navigate to Settings tab
2. Check job list",All job types listed with icons,P1,Functional,Low
CC_SET_002,Settings Tab,Scheduler Settings,Job type icons correct,Verify icons per job type,Jobs configured,"1. Check each job type
2. Verify icons",📊 NAV 📈 Market 📸 Portfolio 🎯 Goal 🔔 Alerts,P2,UI,Low
CC_SET_003,Settings Tab,Scheduler Settings,Job status badge,Verify active/inactive badge,Jobs with various status,"1. Check job status
2. Verify badge",🟢 Active or ⚪ Inactive badge,P2,UI,Low
CC_SET_004,Settings Tab,Scheduler Settings,Cron human-readable,Verify cron conversion,Job with cron expression,"1. Check schedule info
2. Verify format",Cron converted to readable (e.g. 'Daily at 6:00 AM'),P2,Functional,Low
CC_SET_005,Settings Tab,Scheduler Settings,Failover schedule display,Verify failover shows,Job with failover,"1. Find job with failover
2. Check display",Failover schedule visible when enabled,P2,Functional,Low
CC_SET_006,Settings Tab,Scheduler Settings,Retry count display,Verify retry info,Job with retries,"1. Check job retry config
2. Verify display",Max retry count shown,P2,Functional,Low
CC_SET_007,Settings Tab,Scheduler Settings,Global vs Per-Tenant badge,Verify scope badge,Various job types,"1. Check job scope badges
2. Verify display",🌐 Global or 👤 Per-Tenant badge,P2,UI,Low
CC_SET_008,Settings Tab,Scheduler Settings,Refresh button works,Verify refresh,On Settings tab,"1. Click Refresh button
2. Observe list",Job types list refreshes,P2,Functional,Low
CC_SET_009,Settings Tab,Default Index,Current index display,Verify current selection,Index configured,"1. Check default index section
2. Observe display",Current benchmark index shown,P2,Functional,Low
CC_SET_010,Settings Tab,Default Index,Dropdown shows all indices,Verify dropdown options,On Settings tab,"1. Open index dropdown
2. Check options",All NSE/BSE indices available,P2,Functional,Low
CC_SET_011,Settings Tab,Default Index,Save new selection,Verify save works,Select different index,"1. Select new index
2. Click Save",New index saved success toast,P1,Functional,Medium
CC_SET_012,Settings Tab,Default Index,Selection persists,Verify persistence,Index saved,"1. Save index selection
2. Refresh page",Selected index still shows as current,P1,Functional,Low
CC_BELL_001,Alert Bell Icon,Display,Bell icon in header,Verify bell icon visible,On any page,"1. Check header area
2. Find bell icon",Bell icon displayed in header,P1,Functional,Low
CC_BELL_002,Alert Bell Icon,Badge,Count badge displays,Verify count badge,Active alerts exist,"1. Check bell icon
2. Observe badge",Red badge with alert count (e.g. '42'),P1,Functional,Low
CC_BELL_003,Alert Bell Icon,Badge,No badge when zero alerts,Verify no badge,No active alerts,"1. Check bell when no alerts
2. Observe badge",No badge displayed,P2,Functional,Low
CC_BELL_004,Alert Bell Icon,Animation,Bell animates when alerts,Verify animation,Active alerts exist,"1. Check bell icon
2. Observe animation",Bell-ring animation plays,P2,UI,Low
CC_BELL_005,Alert Bell Icon,Animation,Background highlights red,Verify highlight,Active alerts exist,"1. Check bell background
2. Observe color",Background has red highlight,P2,UI,Low
CC_BELL_006,Alert Bell Icon,Dropdown,Dropdown opens on click,Verify dropdown,Bell icon visible,"1. Click bell icon
2. Observe dropdown",Dropdown panel opens (380px wide),P1,Functional,Low
CC_BELL_007,Alert Bell Icon,Dropdown,Shows latest 10 alerts,Verify alert count,More than 10 alerts,"1. Open dropdown
2. Count items",Maximum 10 alerts displayed,P1,Functional,Low
CC_BELL_008,Alert Bell Icon,Dropdown,Alert item layout,Verify item display,Alerts in dropdown,"1. Check alert items
2. Verify content",Icon title timestamp priority shown,P1,Functional,Low
CC_BELL_009,Alert Bell Icon,Dropdown,NEW badge for recent,Verify new indicator,Recently created alert,"1. Find recent alert
2. Check badge",'NEW' badge displayed,P2,UI,Low
CC_BELL_010,Alert Bell Icon,Dropdown,Click navigates to customer,Verify navigation,Alert item clicked,"1. Click alert item
2. Observe navigation",Navigates to customer view with alert context,P1,Functional,Low
CC_BELL_011,Alert Bell Icon,Dropdown,View All Alerts button,Verify footer button,Dropdown open,"1. Find footer button
2. Click it",'View All Alerts' navigates to Alerts tab,P1,Functional,Low
CC_BELL_012,Alert Bell Icon,Dropdown,Dropdown closes on outside click,Verify close behavior,Dropdown open,"1. Click outside dropdown
2. Observe dropdown",Dropdown closes,P2,Functional,Low
CC_BELL_013,Alert Bell Icon,Dropdown,Loading state display,Verify loading,Fresh dropdown open,"1. Open dropdown
2. Observe during fetch",Loading indicator shown,P2,UI,Low
CC_BELL_014,Alert Bell Icon,Dropdown,Max height scroll,Verify scrolling,Many alerts,"1. Open dropdown with many alerts
2. Scroll",Dropdown scrolls (max-height 480px),P2,UI,Low
CC_API_001,API Integration,Snapshots,GET config returns config,Verify config endpoint,Config exists,"1. Call GET /api/cruise-control/snapshots/config
2. Check response",Returns scheduler configuration,P1,Integration,Low
CC_API_002,API Integration,Snapshots,POST execute starts job,Verify execute endpoint,Admin user,"1. Call POST /api/cruise-control/snapshots/execute
2. Check response",Job starts returns execution ID,P1,Integration,Medium
CC_API_003,API Integration,Snapshots,GET executions paginated,Verify executions endpoint,Executions exist,"1. Call GET /api/cruise-control/snapshots/executions?page=1
2. Check response",Paginated execution list returned,P1,Integration,Low
CC_API_004,API Integration,Snapshots,GET statistics aggregates,Verify statistics endpoint,Executions exist,"1. Call GET /api/cruise-control/snapshots/statistics
2. Check response",Aggregated statistics returned,P1,Integration,Low
CC_API_005,API Integration,Snapshots,POST drop-all works,Verify drop endpoint,Admin user snapshots exist,"1. Call POST /api/cruise-control/snapshots/operations/drop-all
2. Check response",Returns deleted count,P1,Integration,High
CC_API_006,API Integration,Snapshots,POST generate-missing works,Verify generate endpoint,Admin user,"1. Call POST /api/cruise-control/snapshots/operations/generate-missing
2. Check response",Returns created/skipped counts,P1,Integration,Medium
CC_API_007,API Integration,Snapshots,POST update-all works,Verify update endpoint,Admin user,"1. Call POST /api/cruise-control/snapshots/operations/update-all
2. Check response",Returns created/updated counts,P1,Integration,Medium
CC_API_008,API Integration,Snapshots,POST regenerate-all works,Verify regenerate endpoint,Admin user snapshots exist,"1. Call POST /api/cruise-control/snapshots/operations/regenerate-all
2. Check response",Returns deleted/created counts,P1,Integration,High
CC_API_009,API Integration,NAV,GET statistics works,Verify NAV stats,NAV bookmarks exist,"1. Call GET /api/nav/statistics
2. Check response",Returns NAV statistics,P1,Integration,Low
CC_API_010,API Integration,NAV,GET bookmarks paginated,Verify bookmarks endpoint,Bookmarks exist,"1. Call GET /api/nav/bookmarks?page=1&page_size=25
2. Check response",Paginated bookmarks returned,P1,Integration,Low
CC_API_011,API Integration,Market,GET indices works,Verify indices endpoint,Indices configured,"1. Call GET /api/market/indices
2. Check response",Market indices list returned,P1,Integration,Low
CC_API_012,API Integration,Alerts,GET visible-alerts works,Verify alerts endpoint,Alerts exist,"1. Call GET /api/jtbd/visible-alerts?status=active
2. Check response",Active alerts returned,P1,Integration,Low
CC_API_013,API Integration,Alerts,PATCH acknowledge works,Verify acknowledge endpoint,Active alert exists,"1. Call PATCH /api/jtbd/alerts/{id}/acknowledge
2. Check response",Alert status updated to acknowledged,P1,Integration,Medium
CC_API_014,API Integration,Alerts,PATCH dismiss works,Verify dismiss endpoint,Active alert exists,"1. Call PATCH /api/jtbd/alerts/{id}/dismiss
2. Check response",Alert status updated to dismissed,P1,Integration,Medium
CC_API_015,API Integration,Auth,401 without token,Verify auth required,No auth token,"1. Call any endpoint without token
2. Check response",Returns 401 Unauthorized,P1,Security,High
CC_API_016,API Integration,Auth,403 for non-admin operations,Verify admin restriction,Non-admin user,"1. Call operation endpoint as non-admin
2. Check response",Returns 403 Forbidden or blocked,P1,Security,High
CC_ERR_001,Error Handling,Snapshots,No active customers error,Verify empty customer handling,No active customers,"1. Execute operation with no customers
2. Check result",Warning message 'No active customers',P2,Functional,Low
CC_ERR_002,Error Handling,Snapshots,Partial failure handling,Verify partial failure,Some customers fail,"1. Execute with customer that will fail
2. Check result",Continues processing tracks customers_failed,P1,Functional,Medium
CC_ERR_003,Error Handling,Snapshots,Database connection error,Verify DB error handling,DB connection issue,"1. Simulate DB failure
2. Check response",Returns 500 error with message,P1,Functional,High
CC_ERR_004,Error Handling,NAV Tab,Failed statistics load,Verify error display,Stats API fails,"1. Simulate stats API failure
2. Check display",Error banner with retry button,P1,Functional,Medium
CC_ERR_005,Error Handling,Market Tab,Failed indices load,Verify error display,Indices API fails,"1. Simulate indices API failure
2. Check display",Error message displayed,P1,Functional,Medium
CC_ERR_006,Error Handling,Alerts Tab,Failed alerts load,Verify error display,Alerts API fails,"1. Simulate alerts API failure
2. Check display",Error banner displayed,P1,Functional,Medium
CC_ERR_007,Error Handling,Alerts Tab,Failed acknowledge,Verify action error,Acknowledge fails,"1. Acknowledge with API failure
2. Check result",Toast error notification shown,P1,Functional,Medium
CC_ERR_008,Error Handling,Alerts Tab,Failed dismiss,Verify action error,Dismiss fails,"1. Dismiss with API failure
2. Check result",Toast error notification shown,P1,Functional,Medium
CC_ERR_009,Error Handling,Operations,Operation timeout handling,Verify timeout,Long-running operation,"1. Start operation that times out
2. Check handling",Timeout error handled gracefully,P2,Functional,Medium
CC_ERR_010,Error Handling,Network,Network failure retry,Verify retry logic,Network intermittent,"1. Trigger operation with network issue
2. Check retry",Retries up to max_retries with exponential backoff,P2,Functional,Medium
CC_PERF_001,Performance,Pagination,Fast page load,Verify pagination speed,Large dataset,"1. Navigate pages
2. Measure load time",Each page loads within 500ms,P2,Performance,Low
CC_PERF_002,Performance,Statistics,Stats load quickly,Verify stats speed,Fresh tab load,"1. Navigate to tab
2. Measure stats load",Statistics load within 2 seconds,P2,Performance,Low
CC_PERF_003,Performance,Dropdown,Instant dropdown open,Verify UI responsiveness,Click dropdown,"1. Click dropdown button
2. Measure open time",Dropdown opens instantly (<100ms),P3,Performance,Low
CC_PERF_004,Performance,Modal,Fast modal open,Verify modal speed,Trigger modal,"1. Click operation button
2. Measure modal open",Modal opens without delay,P3,Performance,Low
CC_PERF_005,Performance,Large Dataset,Handle 1000+ executions,Verify scalability,1000+ execution records,"1. Load execution history
2. Observe pagination",Loads smoothly with pagination,P2,Performance,Low
CC_PERF_006,Performance,Snapshot Generation,Reasonable duration,Verify operation time,500 customers,"1. Execute snapshot operation
2. Measure time",Completes within 5 minutes for 500 customers,P2,Performance,Medium
CC_PERF_007,Performance,Memory,No memory leaks on tab switch,Verify memory stability,Extended use,"1. Switch tabs repeatedly
2. Monitor memory",Memory usage remains stable,P2,Performance,Low
CC_PERF_008,Performance,Auto-refresh,No UI flicker on refresh,Verify smooth refresh,Auto-refresh active,"1. Wait for auto-refresh
2. Observe UI",Data updates without flickering,P3,Performance,Low
CC_SEC_001,Security,Admin Only,Operations require admin,Verify admin restriction,Non-admin user,"1. Login as regular user
2. Try operations",Operations disabled or blocked,P1,Security,High
CC_SEC_002,Security,Admin Only,Read-only for non-admin,Verify read-only mode,Non-admin user,"1. Login as regular user
2. Check interface",Read-only banner all actions disabled,P1,Security,High
CC_SEC_003,Security,Tenant Isolation,Data filtered by tenant,Verify tenant isolation,Multiple tenants,"1. Login as tenant A
2. Check data",Only tenant A data visible,P1,Security,High
CC_SEC_004,Security,Tenant Isolation,Cannot access other tenant snapshots,Verify cross-tenant blocked,Multiple tenants,"1. Try to access tenant B snapshot
2. Check result",Access denied or 404,P1,Security,High
CC_SEC_005,Security,JWT,Token validated on all endpoints,Verify auth middleware,Valid token,"1. Make API calls
2. Check auth",All endpoints validate JWT token,P1,Security,High
CC_SEC_006,Security,JWT,Invalid token rejected,Verify token validation,Invalid/expired token,"1. Make API call with bad token
2. Check response",Returns 401 Unauthorized,P1,Security,High
CC_SEC_007,Security,Environment,Environment header sets is_live,Verify environment isolation,Test vs Live,"1. Set X-Environment header
2. Check data filter",Data filtered by is_live flag,P1,Security,High
CC_SEC_008,Security,Sensitive Data,No secrets in URLs,Verify URL safety,Any navigation,"1. Check all URLs
2. Look for sensitive data",No tokens passwords or PII in URLs,P1,Security,High
CC_RESP_001,Responsive,Mobile,Tab navigation mobile,Verify tabs on mobile,Mobile viewport,"1. Resize to mobile
2. Check tabs",Tabs scrollable or collapsible menu,P2,UI,Low
CC_RESP_002,Responsive,Mobile,Statistics cards stack,Verify card layout,Mobile viewport,"1. Check stat cards
2. Observe stacking",Cards stack vertically on mobile,P2,UI,Low
CC_RESP_003,Responsive,Mobile,Table horizontal scroll,Verify table scroll,Mobile viewport,"1. Check execution history table
2. Scroll horizontally",Table scrolls all columns accessible,P2,UI,Low
CC_RESP_004,Responsive,Tablet,Two-column layout,Verify tablet layout,Tablet viewport (768-1024px),"1. Check layout
2. Observe columns",Appropriate 2-column layout,P2,UI,Low
CC_RESP_005,Responsive,Desktop,Full layout displayed,Verify desktop layout,Desktop viewport (1920px),"1. Check layout
2. Observe spacing",Full layout with proper spacing,P2,UI,Low
CC_RESP_006,Responsive,Modal,Modal centered all sizes,Verify modal positioning,Various viewports,"1. Open modal on different screens
2. Check position",Modal centered on all screen sizes,P2,UI,Low
CC_RESP_007,Responsive,Dropdown,Dropdown positioned correctly,Verify dropdown position,Edge of screen,"1. Open dropdown near edge
2. Check position",Dropdown adjusts to stay on screen,P2,UI,Low
CC_DARK_001,Dark Mode,Colors,All elements adapt,Verify color scheme,Dark mode enabled,"1. Toggle dark mode
2. Check all elements",All colors adapt for dark background,P2,UI,Low
CC_DARK_002,Dark Mode,Tables,Table readable in dark,Verify table styling,Dark mode enabled,"1. Check execution history
2. Verify readability",Table borders rows headers visible,P2,UI,Low
CC_DARK_003,Dark Mode,Badges,Status badges visible,Verify badge colors,Dark mode enabled,"1. Check status badges
2. Verify visibility",Badges maintain visibility and color coding,P2,UI,Low
CC_DARK_004,Dark Mode,Charts,No chart artifacts,Verify chart display,Dark mode enabled,"1. Check any charts
2. Verify display",Charts display without artifacts,P2,UI,Low
CC_EDGE_001,Edge Cases,Empty,No snapshots exist,Verify empty handling,Fresh system,"1. Check Portfolio Snapshots tab
2. Observe display",Empty state messages no errors,P2,Functional,Low
CC_EDGE_002,Edge Cases,Empty,No NAV bookmarks,Verify empty NAV tab,No bookmarks,"1. Check NAV tab
2. Observe display",Empty state message displayed,P2,Functional,Low
CC_EDGE_003,Edge Cases,Empty,No market indices,Verify empty Market tab,No indices configured,"1. Check Market tab
2. Observe display",Empty state message displayed,P2,Functional,Low
CC_EDGE_004,Edge Cases,Empty,No alerts exist,Verify empty Alerts tab,No alerts,"1. Check Alerts tab
2. Observe display",Empty state 'All caught up' message,P2,Functional,Low
CC_EDGE_005,Edge Cases,Data,Very long scheme names,Verify truncation,Long scheme names,"1. Check NAV cards with long names
2. Verify display",Names truncated with ellipsis,P3,UI,Low
CC_EDGE_006,Edge Cases,Data,Large numbers formatting,Verify number format,Large counts,"1. Check large values
2. Verify format",Numbers formatted with commas/K/M,P3,UI,Low
CC_EDGE_007,Edge Cases,Data,Null dates handling,Verify null date display,Missing dates,"1. Check items with null dates
2. Verify display",'N/A' or '-' displayed no errors,P2,Functional,Low
CC_EDGE_008,Edge Cases,Concurrent,Two tabs simultaneously,Verify concurrent access,Two browser tabs,"1. Open CruiseControl in 2 tabs
2. Make changes in both",Both tabs work independently,P2,Functional,Low
CC_EDGE_009,Edge Cases,Concurrent,Rapid filter clicks,Verify rapid interaction,Fast clicks,"1. Click filters rapidly
2. Observe behavior",No crashes or duplicates final filter applies,P2,Functional,Low
CC_EDGE_010,Edge Cases,Concurrent,Operation during refresh,Verify race condition,Auto-refresh timing,"1. Start operation just before refresh
2. Observe behavior",Both complete correctly no conflicts,P2,Functional,Medium
CC_INT_001,Integration,End-to-End,Complete snapshot workflow,Verify full workflow,Admin user customers exist,"1. Configure scheduler
2. Execute Generate Missing
3. Verify executions
4. Check history",Full workflow completes successfully,P1,Integration,Medium
CC_INT_002,Integration,End-to-End,NAV download to metrics,Verify NAV pipeline,NAV bookmarks exist,"1. Download NAV
2. Calculate metrics
3. Verify results",NAV downloaded and metrics calculated,P1,Integration,Medium
CC_INT_003,Integration,End-to-End,Alert acknowledge to dismiss,Verify alert lifecycle,Active alert exists,"1. View alert
2. Acknowledge
3. Dismiss
4. Check history",Alert moves through states correctly,P1,Integration,Low
CC_INT_004,Integration,Data Consistency,Snapshot counts accurate,Verify counts match,After operation,"1. Execute operation
2. Compare counts with database",UI counts match database records,P1,Integration,Medium
CC_INT_005,Integration,Data Consistency,Execution duration accurate,Verify timing,After operation,"1. Execute operation
2. Measure actual time
3. Compare with recorded",Recorded duration matches actual,P2,Integration,Low
