TC_ID,Section,Sub_Section,Test_Case_Title,Description,Pre_Conditions,Test_Steps,Expected_Result,Priority,Test_Type,Multi_Tenant_Test,Environment
CV_GOAL_017,Goals Tab,Goal Cards,Watchlist toggle - remove,Verify can remove goal from watchlist,Goal in watchlist,"1. Find filled star on goal card
2. Click to remove",Star unfills and goal removed from watchlist,P1,Functional,Yes,Both
CV_GOAL_018,Goals Tab,Goal Cards,Recalculate button,Verify recalculate triggers calculation,Goal exists,"1. Find recalculate (refresh) button
2. Click button
3. Wait for completion",GoalRecalculationModal shows with new values,P1,Functional,Yes,Both
CV_GOAL_019,Goals Tab,Goal Cards,View Details button,Verify view details navigates,Goal exists,"1. Find View Details button
2. Click button",Navigates to /customers/{id}/goals/{goalId},P1,Functional,Yes,Both
CV_GOAL_020,Goals Tab,Goal Cards,Delete button - opens modal,Verify delete shows confirmation,Goal exists,"1. Find delete (trash) button
2. Click button",Delete confirmation modal opens,P1,Functional,Yes,Both
CV_GOAL_021,Goals Tab,Goal Cards,Delete button - confirm delete,Verify confirming deletes goal,Delete modal open,"1. Click Confirm in delete modal
2. Observe goal list",Goal removed from list (toast confirmation),P1,Functional,Yes,Both
CV_GOAL_022,Goals Tab,Goal Cards,Delete button - cancel,Verify canceling keeps goal,Delete modal open,"1. Click Cancel in delete modal
2. Observe goal list",Modal closes goal remains in list,P2,Functional,Yes,Both
CV_GOAL_023,Goals Tab,Metrics Sidebar,Display 4 metric cards,Verify 2x2 metrics grid in sidebar,Customer with goals,"1. Check right sidebar
2. Count metric cards",4 cards: Active Goals Total Target Current Value Goal SIPs,P1,Functional,Yes,Both
CV_GOAL_024,Goals Tab,Metrics Sidebar,Active Goals card,Verify active goals count,Customer with goals,"1. Check Active Goals card
2. Verify count",Count matches number of active goals,P1,Functional,Yes,Both
CV_GOAL_025,Goals Tab,Metrics Sidebar,Active Goals gradient styling,Verify gradient background on card,On Goals tab,"1. Check Active Goals card styling
2. Observe background",Card has gradient background (primary color),P3,UI,No,Both
CV_GOAL_026,Goals Tab,Metrics Sidebar,Total Target card,Verify total target sum,Customer with goals,"1. Check Total Target card
2. Verify amount",Amount equals sum of all goal targets,P1,Functional,Yes,Both
CV_GOAL_027,Goals Tab,Metrics Sidebar,Current Value card,Verify current value sum,Customer with goals,"1. Check Current Value card
2. Verify amount and percentage",Shows total current value and % of target,P1,Functional,Yes,Both
CV_GOAL_028,Goals Tab,Metrics Sidebar,Goal SIPs card,Verify total monthly SIP,Customer with goals,"1. Check Goal SIPs card
2. Verify amount",Amount equals sum of all goal monthly SIPs,P1,Functional,Yes,Both
CV_GOAL_029,Goals Tab,Alerts Section,Display Alerts & Reminders,Verify JTBD list displays below goals,Customer with JTBDs,"1. Scroll down in Goals tab
2. Find Alerts section",JTBDList component displays with customer alerts,P1,Functional,Yes,Both
CV_GOAL_030,Goals Tab,Alerts Section,Filter excludes goal_tracking,Verify goal_tracking type hidden,Customer with various JTBDs,"1. Check Alerts section
2. Verify visible types",goal_tracking type JTBDs not shown in this list,P2,Functional,Yes,Both
CV_GOAL_031,Goals Tab,Alerts Section,Filter by type,Verify type filter works,Multiple JTBD types exist,"1. Use type filter dropdown
2. Select specific type",Only selected type JTBDs shown,P2,Functional,Yes,Both
CV_GOAL_032,Goals Tab,Alerts Section,Filter by priority,Verify priority filter works,JTBDs with various priorities,"1. Use priority filter dropdown
2. Select High",Only High priority JTBDs shown,P2,Functional,Yes,Both
CV_GOAL_033,Goals Tab,Alerts Section,Filter by status,Verify status filter works,Active and inactive JTBDs,"1. Use status filter dropdown
2. Select Active",Only Active JTBDs shown,P2,Functional,Yes,Both
CV_GOAL_034,Goals Tab,Quick Actions,Create Goal button,Verify Create Goal button works,On Goals tab,"1. Find Create Goal in quick actions
2. Click button",Navigates to goal creation page,P1,Functional,Yes,Both
CV_GOAL_035,Goals Tab,Empty State,No goals empty state,Verify empty state when no goals,Customer without goals,"1. Navigate to Goals tab for customer without goals
2. Observe display",'No Goals Set' message with 'Create First Goal' button,P1,Functional,Yes,Both
CV_GOAL_036,Goals Tab,Empty State,Create First Goal button,Verify empty state button works,No goals empty state showing,"1. Click 'Create First Goal' button
2. Observe navigation",Navigates to goal creation page,P1,Functional,Yes,Both
CV_AST_001,Assets Tab,Layout,Display CustomerAssetManager,Verify asset manager component loads,On Assets tab,"1. Click Asset Types tab
2. Observe content",CustomerAssetManager component displays,P1,Functional,Yes,Both
CV_AST_002,Assets Tab,Plan List,Display investment plans list,Verify investment plans are listed,Customer with investment plans,"1. Navigate to Assets tab
2. Observe plan list",All investment plans displayed as cards,P1,Functional,Yes,Both
CV_AST_003,Assets Tab,Plan Cards,Plan card - name,Verify plan name displays,Investment plan exists,"1. Check plan card
2. Find name",Plan name prominently displayed,P1,Functional,Yes,Both
CV_AST_004,Assets Tab,Plan Cards,Plan card - asset type,Verify asset type displays,Investment plan with asset type,"1. Check plan card
2. Find asset type",Asset type label/badge displayed,P1,Functional,Yes,Both
CV_AST_005,Assets Tab,Plan Cards,Plan card - dates,Verify created/updated dates display,Investment plan exists,"1. Check plan card
2. Find dates",Created and/or updated dates shown,P2,Functional,Yes,Both
CV_AST_006,Assets Tab,Plan Cards,Plan card - goal allocations,Verify GoalAllocationInfo shows,Plan with goal allocations,"1. Check plan card
2. Find goal section",Goals allocated to this plan displayed,P2,Functional,Yes,Both
CV_AST_007,Assets Tab,Plan Cards,Plan card - alert status,Verify alert toggle displays,Investment plan exists,"1. Check plan card
2. Find alert toggle",Alert enabled/disabled toggle visible,P1,Functional,Yes,Both
CV_AST_008,Assets Tab,Actions,Add New Plan button,Verify Add New Plan opens form,On Assets tab,"1. Find 'Add New Plan' button
2. Click button",InvestmentPlanForm modal/page opens,P1,Functional,Yes,Both
CV_AST_009,Assets Tab,Actions,Edit plan button,Verify edit opens plan for editing,Investment plan exists,"1. Find Edit button on plan card
2. Click button",Plan opens in edit mode,P1,Functional,Yes,Both
CV_AST_010,Assets Tab,Actions,Delete plan - opens confirmation,Verify delete shows confirmation modal,Investment plan exists,"1. Find Delete button on plan card
2. Click button",Delete confirmation modal opens,P1,Functional,Yes,Both
CV_AST_011,Assets Tab,Actions,Delete plan - confirm,Verify confirming deletes plan,Delete modal open,"1. Click Confirm in modal
2. Observe plan list",Plan removed from list,P1,Functional,Yes,Both
CV_AST_012,Assets Tab,Actions,Toggle alerts on,Verify can enable alerts for plan,Plan with alerts disabled,"1. Find alert toggle
2. Toggle ON",Alerts enabled for plan (toast confirmation),P1,Functional,Yes,Both
CV_AST_013,Assets Tab,Actions,Toggle alerts off,Verify can disable alerts for plan,Plan with alerts enabled,"1. Find alert toggle
2. Toggle OFF",Alerts disabled for plan (toast confirmation),P1,Functional,Yes,Both
CV_AST_014,Assets Tab,Empty State,No plans empty state,Verify empty state when no plans,Customer without investment plans,"1. Navigate to Assets tab for customer without plans
2. Observe display",Empty state message with Add Plan button,P1,Functional,Yes,Both
CV_AST_015,Assets Tab,Loading,Loading state,Verify loading indicator during fetch,Fresh tab load,"1. Click Assets tab
2. Observe during load",Loading spinner displays,P2,UI,No,Both
CV_JOB_001,Jobs Tab,Layout,Display JTBDExecutionTimeline,Verify timeline component loads,On Jobs tab,"1. Click Jobs To Do tab
2. Observe content",JTBDExecutionTimeline component displays,P1,Functional,Yes,Both
CV_JOB_002,Jobs Tab,Timeline,Execution items grouped,Verify items grouped by date/status,Customer with JTBD executions,"1. Navigate to Jobs tab
2. Check item grouping",Items grouped logically (by date or status),P1,Functional,Yes,Both
CV_JOB_003,Jobs Tab,Timeline,Planned items display,Verify planned/upcoming items show,JTBD with future dates,"1. Check timeline
2. Find Planned section",Planned items displayed with upcoming dates,P1,Functional,Yes,Both
CV_JOB_004,Jobs Tab,Timeline,Due items display,Verify due items highlighted,JTBD due today,"1. Check timeline
2. Find Due section",Due items prominently displayed/highlighted,P1,Functional,Yes,Both
CV_JOB_005,Jobs Tab,Timeline,Overdue items display,Verify overdue items show with warning,JTBD past due date,"1. Check timeline
2. Find Overdue section",Overdue items displayed with warning styling (red),P1,Functional,Yes,Both
CV_JOB_006,Jobs Tab,Timeline,Completed items display,Verify completed items show,Completed JTBD executions,"1. Check timeline
2. Find Completed section",Completed items displayed with checkmark,P2,Functional,Yes,Both
CV_JOB_007,Jobs Tab,Actions,Mark as complete,Verify can mark execution complete,Due or overdue JTBD,"1. Find Mark Complete button
2. Click button",Execution marked complete moves to completed section,P1,Functional,Yes,Both
CV_JOB_008,Jobs Tab,Actions,Reschedule,Verify can reschedule execution,JTBD execution exists,"1. Find Reschedule option
2. Select new date
3. Confirm",Execution rescheduled to new date,P2,Functional,Yes,Both
CV_JOB_009,Jobs Tab,Actions,Cancel with reason,Verify can cancel with reason,JTBD execution exists,"1. Find Cancel option
2. Enter cancellation reason
3. Confirm",Execution cancelled with reason recorded,P2,Functional,Yes,Both
CV_JOB_010,Jobs Tab,Actions,View details,Verify can view execution details,JTBD execution exists,"1. Click on execution item
2. Observe details",Execution details modal/panel opens,P2,Functional,Yes,Both
CV_JOB_011,Jobs Tab,Filters,Filter by type,Verify type filter works,Multiple JTBD types,"1. Use type filter
2. Select specific type",Only selected type executions shown,P2,Functional,Yes,Both
CV_JOB_012,Jobs Tab,Filters,Filter by priority,Verify priority filter works,Various priority JTBDs,"1. Use priority filter
2. Select Critical",Only Critical priority executions shown,P2,Functional,Yes,Both
CV_JOB_013,Jobs Tab,Filters,Filter by status,Verify status filter works,Various status JTBDs,"1. Use status filter
2. Select Overdue",Only Overdue executions shown,P2,Functional,Yes,Both
CV_JOB_014,Jobs Tab,Empty State,No jobs empty state,Verify empty state when no jobs,Customer without JTBDs,"1. Navigate to Jobs tab without jobs
2. Observe display",Empty state message displayed,P2,Functional,Yes,Both
CV_TXN_001,Transactions Tab,Layout,Display TransactionTable,Verify transaction table renders,On Transactions tab,"1. Click Transactions tab
2. Observe content",TransactionTable component displays,P1,Functional,Yes,Both
CV_TXN_002,Transactions Tab,Table Columns,All columns present,Verify all expected columns display,Customer with transactions,"1. Check table headers
2. Verify columns",Columns: Date Scheme Folio Type Amount Units NAV Portfolio Flag Actions,P1,Functional,Yes,Both
CV_TXN_003,Transactions Tab,Table Data,Date column sortable,Verify can sort by date,Customer with transactions,"1. Click Date column header
2. Click again for reverse",Transactions sort by date ASC then DESC,P1,Functional,Yes,Both
CV_TXN_004,Transactions Tab,Table Data,Date format,Verify date displays correctly,Customer with transactions,"1. Check Date column
2. Observe format",Dates display in readable format (DD/MM/YYYY or similar),P2,Functional,Yes,Both
CV_TXN_005,Transactions Tab,Table Data,Scheme name display,Verify scheme name shows,Customer with transactions,"1. Check Scheme column
2. Observe display",Scheme name displayed clearly,P1,Functional,Yes,Both
CV_TXN_006,Transactions Tab,Table Data,Folio number display,Verify folio number shows,Customer with transactions,"1. Check Folio column
2. Observe display",Folio number displayed,P2,Functional,Yes,Both
CV_TXN_007,Transactions Tab,Table Data,Transaction type - Addition green,Verify addition types in green,Purchase/SIP transaction,"1. Check Type column for purchase
2. Observe color",Addition transactions displayed in green,P2,UI,Yes,Both
CV_TXN_008,Transactions Tab,Table Data,Transaction type - Deduction red,Verify deduction types in red,Redemption/SWP transaction,"1. Check Type column for redemption
2. Observe color",Deduction transactions displayed in red,P2,UI,Yes,Both
CV_TXN_009,Transactions Tab,Table Data,Amount format,Verify amount in ₹ format,Customer with transactions,"1. Check Amount column
2. Observe format",Amounts display as ₹X,XXX.XX,P2,Functional,Yes,Both
CV_TXN_010,Transactions Tab,Table Data,Units format,Verify units with decimals,Customer with transactions,"1. Check Units column
2. Observe format",Units display with appropriate decimal places,P2,Functional,Yes,Both
CV_TXN_011,Transactions Tab,Table Data,NAV format,Verify NAV in ₹ format,Customer with transactions,"1. Check NAV column
2. Observe format",NAV displays as ₹XX.XXXX,P2,Functional,Yes,Both
CV_TXN_012,Transactions Tab,Portfolio Flag,Portfolio flag checkbox display,Verify checkbox shows,Customer with transactions,"1. Check Portfolio Flag column
2. Observe checkbox",Checkbox displayed for each row,P1,Functional,Yes,Both
CV_TXN_013,Transactions Tab,Portfolio Flag,Toggle portfolio flag ON,Verify can include in portfolio,Transaction excluded,"1. Find excluded transaction
2. Check the checkbox",Transaction included in portfolio calculations (checkbox checked),P1,Functional,Yes,Both
CV_TXN_014,Transactions Tab,Portfolio Flag,Toggle portfolio flag OFF,Verify can exclude from portfolio,Transaction included,"1. Find included transaction
2. Uncheck the checkbox",Transaction excluded from portfolio calculations,P1,Functional,Yes,Both
CV_TXN_015,Transactions Tab,Actions,View transaction button,Verify can view transaction details,Transaction exists,"1. Find View button in Actions
2. Click button",Navigates to transaction details page,P2,Functional,Yes,Both
CV_TXN_016,Transactions Tab,Actions,Delete transaction - opens modal,Verify delete shows confirmation,Transaction exists,"1. Find Delete button in Actions
2. Click button",Delete confirmation modal opens,P1,Functional,Yes,Both
CV_TXN_017,Transactions Tab,Actions,Delete transaction - confirm,Verify confirming deletes transaction,Delete modal open,"1. Click Confirm in modal
2. Observe table",Transaction removed from table,P1,Functional,Yes,Both
CV_TXN_018,Transactions Tab,Pagination,Page size 20,Verify 20 transactions per page,Customer with >20 transactions,"1. Count rows on first page
2. Check pagination info",20 rows displayed on page,P2,Functional,Yes,Both
CV_TXN_019,Transactions Tab,Pagination,Total count display,Verify total count shows,Customer with transactions,"1. Check pagination area
2. Find total count",Total transaction count displayed,P2,Functional,Yes,Both
CV_TXN_020,Transactions Tab,Pagination,Next page navigation,Verify can go to next page,Multiple pages exist,"1. Click Next button
2. Observe table",Page 2 transactions load,P1,Functional,Yes,Both
CV_TXN_021,Transactions Tab,Pagination,Previous page navigation,Verify can go to previous page,On page 2+,"1. Click Previous button
2. Observe table",Previous page transactions load,P1,Functional,Yes,Both
CV_TXN_022,Transactions Tab,Pagination,Page indicator,Verify page indicator updates,Navigate between pages,"1. Navigate pages
2. Observe indicator",Page indicator shows current page (e.g. 'Page 2 of 5'),P2,Functional,Yes,Both
CV_TXN_023,Transactions Tab,Sorting,Default sort by date DESC,Verify default sort order,Fresh page load,"1. Navigate to Transactions tab
2. Check order",Transactions sorted by date descending (newest first),P2,Functional,Yes,Both
CV_TXN_024,Transactions Tab,Sorting,Toggle sort order,Verify clicking column toggles order,Transactions displayed,"1. Click Date header once
2. Click again",Order toggles between ASC and DESC,P2,Functional,Yes,Both
CV_TXN_025,Transactions Tab,Empty State,No transactions message,Verify empty state shows,Customer without transactions,"1. Navigate to Transactions tab for customer without transactions
2. Observe display",'No Transactions Found' message displayed,P1,Functional,Yes,Both
CV_TXN_026,Transactions Tab,Loading,Loading state,Verify loading indicator during fetch,Fresh tab load,"1. Click Transactions tab
2. Observe during load",Loading spinner displays,P2,UI,No,Both
CV_FAM_001,Family View,Switch,Activate family view,Verify switching to family view,Customer with family_code,"1. Click Family in toggle
2. Observe changes",View switches to family mode URL updated,P1,Functional,Yes,Both
CV_FAM_002,Family View,Header,Family Networth in metrics,Verify metrics show family data,In family view,"1. Check metrics bar
2. Observe title and values",Title shows 'Family Networth' with aggregated values,P1,Functional,Yes,Both
CV_FAM_003,Family View,Tabs,Only Overview tab visible,Verify other tabs hidden,In family view,"1. Check tab navigation
2. Count visible tabs",Only 'Portfolio Overview' tab visible,P1,Functional,Yes,Both
CV_FAM_004,Family View,Content,FamilyPortfolioView displays,Verify family content loads,In family view on Overview,"1. Check Overview tab content
2. Observe component",FamilyPortfolioView component displays,P1,Functional,Yes,Both
CV_FAM_005,Family View,Chart,Family networth projection chart,Verify chart shows family data,In family view,"1. Check networth chart
2. Verify data",Chart shows aggregated family networth,P1,Functional,Yes,Both
CV_FAM_006,Family View,Members,Member tabs display,Verify tabs for each member,Family with multiple members,"1. Check member navigation
2. Count tabs",Tab for each family member visible,P1,Functional,Yes,Both
CV_FAM_007,Family View,Members,Family head indicator,Verify head is marked,Family with head,"1. Check member tabs
2. Find head indicator",Family head has distinct indicator/badge,P2,Functional,Yes,Both
CV_FAM_008,Family View,Members,Member selection updates chart,Verify selecting member filters chart,Multiple family members,"1. Click different member tabs
2. Observe chart",Chart updates to show selected member's data,P1,Functional,Yes,Both
CV_FAM_009,Family View,Navigation,Navigate to member dashboard,Verify can navigate to member view,Member tab selected,"1. Find 'View Dashboard' button
2. Click button",Navigates to /customers/{memberId} with individual view,P1,Functional,Yes,Both
CV_FAM_010,Family View,Data,Family portfolio aggregation,Verify totals are aggregated,Family with multiple members with portfolios,"1. Check family total
2. Compare with sum of members",Family total equals sum of all member portfolios,P1,Functional,Yes,Both
CV_FAM_011,Family View,Switch Back,Return to individual view,Verify can switch back,In family view,"1. Click Individual in toggle
2. Observe changes",View returns to individual mode all tabs visible,P1,Functional,Yes,Both
CV_FAM_012,Family View,URL,URL parameter persists,Verify view=family in URL,In family view,"1. Check URL
2. Refresh page",URL contains ?view=family and state persists after refresh,P2,Functional,No,Both
CV_MOD_001,Modals,JTBD Setup,Modal opens correctly,Verify JTBDSetupModal opens,Click New Alert,"1. Click 'New Alert' button
2. Observe modal",Modal opens with alert type options,P1,Functional,Yes,Both
CV_MOD_002,Modals,JTBD Setup,Portfolio Alert form,Verify Portfolio Alert form displays,Select Portfolio Alert type,"1. Open JTBD modal
2. Select Portfolio Alert (if visible)",Form shows: Scheme Transaction type Frequency etc.,P1,Functional,Yes,Both
CV_MOD_003,Modals,JTBD Setup,Time-Based form,Verify Time-Based form displays,Select Time-Based type,"1. Open JTBD modal
2. Select Time-Based",Form shows: Date picker Recurring option Description,P1,Functional,Yes,Both
CV_MOD_004,Modals,JTBD Setup,Profile Trigger form,Verify Profile Trigger form displays,Select Profile Trigger type,"1. Open JTBD modal
2. Select Profile Trigger",Form shows: Trigger type (birthday/anniversary) Days before,P1,Functional,Yes,Both
CV_MOD_005,Modals,JTBD Setup,Goal Tracking redirects,Verify Goal Tracking redirects to goal page,Select Goal Tracking type,"1. Open JTBD modal
2. Select Goal Tracking",Redirects to goal creation page,P2,Functional,Yes,Both
CV_MOD_006,Modals,JTBD Setup,Form validation,Verify required fields validated,Incomplete form submission,"1. Try to submit with missing required fields
2. Observe validation",Validation errors shown for required fields,P1,Functional,No,Both
CV_MOD_007,Modals,JTBD Setup,Successful creation,Verify JTBD created successfully,Complete valid form,"1. Fill all required fields
2. Submit form",JTBD created success toast shown modal closes,P1,Functional,Yes,Both
CV_MOD_008,Modals,JTBD Setup,Cancel closes modal,Verify cancel button closes modal,Modal open,"1. Click Cancel button
2. Observe modal",Modal closes no JTBD created,P2,Functional,No,Both
CV_MOD_009,Modals,Goal Recalculation,Modal shows calculation results,Verify recalculation modal displays results,After recalculate click,"1. Click Recalculate on goal
2. Wait for calculation
3. Observe modal",Modal shows: Previous corpus New corpus Status,P1,Functional,Yes,Both
CV_MOD_010,Modals,Goal Recalculation,Previous corpus display,Verify previous value shown,Recalculation complete,"1. Check modal content
2. Find previous corpus",Previous corpus value displayed,P2,Functional,Yes,Both
CV_MOD_011,Modals,Goal Recalculation,New corpus display,Verify new value shown,Recalculation complete,"1. Check modal content
2. Find new corpus",New corpus value displayed,P2,Functional,Yes,Both
CV_MOD_012,Modals,Goal Recalculation,Status indicator,Verify status shows improved/declined,Recalculation complete,"1. Check modal content
2. Find status",Status indicator (improved/declined/unchanged) shown,P2,Functional,Yes,Both
CV_MOD_013,Modals,Create Meeting,Modal opens with fields,Verify meeting modal has all fields,Click Meeting button,"1. Click 'Meeting' button
2. Observe modal",Modal shows: Date Time Mode Location Agenda fields,P1,Functional,Yes,Both
CV_MOD_014,Modals,Create Meeting,Date picker works,Verify can select meeting date,Modal open,"1. Click date field
2. Select date",Date picker opens and selection works,P1,Functional,No,Both
CV_MOD_015,Modals,Create Meeting,Time picker works,Verify can select meeting time,Modal open,"1. Click time field
2. Select time",Time picker opens and selection works,P1,Functional,No,Both
CV_MOD_016,Modals,Create Meeting,Mode selection,Verify mode options available,Modal open,"1. Click mode dropdown
2. Check options",Options: In-person Video Phone available,P2,Functional,No,Both
CV_MOD_017,Modals,Create Meeting,Location field,Verify location can be entered,Modal open,"1. Enter location text
2. Observe field",Location text accepted,P2,Functional,No,Both
CV_MOD_018,Modals,Create Meeting,Agenda field,Verify agenda can be entered,Modal open,"1. Enter agenda text
2. Observe field",Agenda text accepted (multiline),P2,Functional,No,Both
CV_MOD_019,Modals,Create Meeting,Successful creation,Verify meeting created,Complete valid form,"1. Fill all fields
2. Submit form",Meeting created success toast modal closes,P1,Functional,Yes,Both
CV_MOD_020,Modals,Delete Confirmation,Modal styling,Verify delete modal is prominent,Delete action triggered,"1. Click any delete button
2. Observe modal",Modal centered with backdrop blur,P2,UI,No,Both
CV_MOD_021,Modals,Delete Confirmation,Confirm and Cancel buttons,Verify both buttons present,Delete modal open,"1. Check modal buttons
2. Verify presence",Both Confirm and Cancel buttons visible,P1,Functional,No,Both
CV_MOD_022,Modals,Delete Confirmation,Escape key closes,Verify Escape closes modal,Delete modal open,"1. Press Escape key
2. Observe modal",Modal closes without deletion,P2,Functional,No,Both
CV_MOD_023,Modals,Delete Confirmation,Click outside closes,Verify clicking backdrop closes modal,Delete modal open,"1. Click outside modal
2. Observe modal",Modal closes without deletion,P2,Functional,No,Both
CV_ERR_001,Error States,Customer Load,Invalid customer ID error,Verify error for invalid ID,Navigate to non-existent customer,"1. Navigate to /customers/99999
2. Observe display",Error message: Customer not found or invalid,P1,Functional,Yes,Both
CV_ERR_002,Error States,Customer Load,Failed to load customer,Verify error with retry on API failure,API returns error,"1. Simulate API failure
2. Observe display",Error message with Retry button,P1,Functional,No,Both
CV_ERR_003,Error States,Portfolio,No portfolio data message,Verify empty state for no portfolio,Customer without transactions,"1. Navigate to customer without portfolio
2. Check Overview tab",'Portfolio Data Not Available' with import link,P1,Functional,Yes,Both
CV_ERR_004,Error States,Transactions,No transactions message,Verify empty state for no transactions,Customer without transactions,"1. Navigate to Transactions tab
2. Check display",'No Transactions Found' message,P1,Functional,Yes,Both
CV_ERR_005,Error States,Goals,No goals message,Verify empty state for no goals,Customer without goals,"1. Navigate to Goals tab
2. Check display",'No Goals Set' with create button,P1,Functional,Yes,Both
CV_ERR_006,Error States,JTBD,Failed JTBD load,Verify error handling for JTBD failure,JTBD API fails,"1. Simulate JTBD API failure
2. Check Jobs tab",Error message displayed,P2,Functional,No,Both
CV_ERR_007,Error States,User Friendly,All errors user-friendly,Verify no technical errors shown to user,Various error scenarios,"1. Trigger various errors
2. Check messages",All error messages are user-friendly not technical,P1,Functional,No,Both
CV_ERR_008,Error States,Retry,Retry functionality works,Verify retry button works,Error with retry button shown,"1. Click Retry button
2. Observe behavior",Data fetch retried and loads if successful,P2,Functional,No,Both
CV_PERF_001,Performance,Chart Resize,Charts resize on window resize,Verify charts are responsive,Charts displayed,"1. Resize browser window
2. Observe charts",Charts resize without distortion or overflow,P2,UI,No,Both
CV_PERF_002,Performance,Tab Switch,Tab switching performance,Verify tabs switch quickly,Multiple tabs visited,"1. Click between tabs rapidly
2. Observe performance",Tab content loads within 1-2 seconds,P2,Performance,No,Both
CV_PERF_003,Performance,Data Refetch,Data refetches on return,Verify stale data refreshed,Navigate away and back,"1. Navigate away from CustomerView
2. Return to CustomerView",Data is refreshed/current not stale,P2,Functional,No,Both
CV_PERF_004,Performance,Memory,No memory leaks on tab switch,Verify memory stable,Extended tab switching,"1. Switch between tabs many times
2. Monitor memory",Memory usage remains stable,P2,Performance,No,Both
CV_PERF_005,Performance,Modal,Modal opens/closes smoothly,Verify modal animations smooth,Modal interactions,"1. Open and close modals
2. Observe transitions",Smooth open/close animations no jank,P3,UI,No,Both
CV_PERF_006,Performance,Pagination,Pagination loads correctly,Verify page changes are quick,Large transaction list,"1. Navigate through pages
2. Observe load times",Each page loads within 1-2 seconds,P2,Performance,Yes,Both
CV_PERF_007,Performance,Export,Chart export completes,Verify PNG export works,Chart displayed,"1. Click Export button
2. Wait for download",PNG file downloads within 3-5 seconds,P2,Functional,No,Both
CV_PERF_008,Performance,Fullscreen,Fullscreen mode works,Verify fullscreen enter/exit,Chart displayed,"1. Enter fullscreen
2. Exit fullscreen",Fullscreen toggles smoothly,P2,Functional,No,Both
CV_DARK_001,Dark Mode,Colors,Colors adapt to dark mode,Verify color scheme changes,Toggle dark mode,"1. Enable dark mode
2. Check all elements",All colors adapt appropriately for dark background,P2,UI,No,Both
CV_DARK_002,Dark Mode,Text,Text contrast in dark mode,Verify text readable,In dark mode,"1. Check text elements
2. Verify contrast",Text has sufficient contrast against dark background,P2,UI,No,Both
CV_DARK_003,Dark Mode,Charts,Charts display in dark mode,Verify charts adapt,In dark mode,"1. Check all charts
2. Verify visibility",Charts display correctly with appropriate colors,P2,UI,No,Both
CV_DARK_004,Dark Mode,Badges,Badges visible in dark mode,Verify badges stand out,In dark mode,"1. Check status badges
2. Verify visibility",Badges remain visible and color-coded,P2,UI,No,Both
CV_DARK_005,Dark Mode,Tables,Tables readable in dark mode,Verify table styling,In dark mode,"1. Check table elements
2. Verify styling",Table borders rows headers all visible,P2,UI,No,Both
CV_RESP_001,Responsive,Mobile,CustomerView on mobile,Verify layout on mobile viewport,Mobile viewport (<768px),"1. Resize to mobile width
2. Check layout",Layout adapts - stacking navigation adjustments,P2,UI,No,Both
CV_RESP_002,Responsive,Tablet,CustomerView on tablet,Verify layout on tablet viewport,Tablet viewport (768-1024px),"1. Resize to tablet width
2. Check layout",Layout adapts - 2 columns may stack,P2,UI,No,Both
CV_RESP_003,Responsive,Charts Mobile,Charts on mobile,Verify charts work on mobile,Mobile viewport,"1. Check charts on mobile
2. Verify interactions",Charts display and respond to touch,P2,UI,No,Both
CV_RESP_004,Responsive,Tables Mobile,Tables on mobile,Verify tables scroll on mobile,Mobile viewport,"1. Check transaction table
2. Verify scroll",Table scrolls horizontally all columns accessible,P2,UI,No,Both
CV_RESP_005,Responsive,Modals Mobile,Modals on mobile,Verify modals fit mobile screen,Mobile viewport,"1. Open modals
2. Check display",Modals fit screen and are usable,P2,UI,No,Both
CV_NAV_001,Navigation,Deep Link,Direct URL to tab works,Verify deep link to specific tab,Direct URL navigation,"1. Navigate to /customers/123?tab=transactions
2. Observe state",Transactions tab is active and loaded,P1,Functional,No,Both
CV_NAV_002,Navigation,Deep Link,Direct URL to family view,Verify deep link to family view,Direct URL navigation,"1. Navigate to /customers/123?view=family
2. Observe state",Family view is active,P1,Functional,No,Both
CV_NAV_003,Navigation,Deep Link,Combined URL parameters,Verify multiple params work,Direct URL navigation,"1. Navigate to /customers/123?tab=goals&view=family
2. Observe state",Correct tab and view mode active,P1,Functional,No,Both
CV_NAV_004,Navigation,Browser Back,Back button works,Verify browser back navigates correctly,After tab changes,"1. Change tabs several times
2. Click browser back",Returns to previous tab/state,P2,Functional,No,Both
CV_NAV_005,Navigation,Refresh,Page refresh preserves state,Verify state persists after refresh,On specific tab,"1. Navigate to Goals tab
2. Refresh page",Goals tab still active after refresh,P2,Functional,No,Both
CV_INT_001,Integration,Portfolio Refresh,Portfolio updates after transaction,Verify portfolio reflects new transaction,New transaction added,"1. Add new transaction
2. Navigate to Overview tab",Portfolio values updated with new transaction,P1,Integration,Yes,Both
CV_INT_002,Integration,Goal Allocation,Goal updates after investment allocation,Verify goal progress after allocation,Investment allocated to goal,"1. Allocate investment to goal
2. Check goal card",Goal progress reflects allocation,P1,Integration,Yes,Both
CV_INT_003,Integration,NAV Update,Portfolio updates with new NAV,Verify values update after NAV refresh,New NAV data available,"1. Update NAV for scheme
2. Check portfolio values",Portfolio current values reflect new NAV,P1,Integration,Yes,Both
CV_INT_004,Integration,Alert Toggle,Investment alert affects JTBD,Verify toggling investment alerts,Investment with alerts,"1. Toggle alerts off on investment plan
2. Check JTBD list",Related alerts disabled/hidden,P1,Integration,Yes,Both
